qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
2471,251,90,28,22,22,1:30.834,NoData,NoData
2472,251,64,28,21,23,1:32.102,NoData,NoData
2473,251,86,30,16,24,1:32.470,NoData,NoData
2474,252,14,3,6,1,1:20.537,NoData,NoData
2475,252,71,3,5,2,1:20.905,NoData,NoData
2476,252,30,22,1,3,1:21.301,NoData,NoData
2477,252,77,6,28,4,1:21.970,NoData,NoData
2478,252,49,15,30,5,1:22.226,NoData,NoData
2479,252,65,22,2,6,1:22.322,NoData,NoData
2480,252,55,6,27,7,1:22.391,NoData,NoData
2481,252,22,17,14,8,1:22.538,NoData,NoData
2482,252,84,27,25,9,1:22.588,NoData,NoData
2483,252,56,17,15,10,1:22.831,NoData,NoData
2484,252,44,27,26,11,1:22.904,NoData,NoData
2485,252,87,1,7,12,1:22.914,NoData,NoData
2486,252,57,1,8,13,1:23.064,NoData,NoData
2487,252,96,15,29,14,1:23.934,NoData,NoData
2488,252,63,25,4,15,1:23.936,NoData,NoData
2489,252,79,25,3,16,1:24.287,NoData,NoData
2490,252,83,18,23,17,1:24.657,NoData,NoData
2491,252,69,18,24,18,1:24.778,NoData,NoData
2492,252,89,29,10,19,1:24.883,NoData,NoData
2493,252,97,29,9,20,1:25.179,NoData,NoData
2494,252,85,30,17,21,1:26.172,NoData,NoData
2495,252,64,28,21,22,1:27.292,NoData,NoData
2496,252,90,28,22,23,1:27.523,NoData,NoData
2497,252,98,30,16,24,1:32.769,NoData,NoData
2498,253,14,3,6,1,1:18.738,NoData,NoData
2499,253,71,3,5,2,1:18.972,NoData,NoData
2500,253,30,22,1,3,1:19.150,NoData,NoData
2501,253,77,6,28,4,1:19.821,NoData,NoData
2502,253,56,17,15,5,1:20.488,NoData,NoData
2503,253,55,6,27,6,1:20.510,NoData,NoData
2504,253,65,22,2,7,1:20.653,NoData,NoData
2505,253,49,15,30,8,1:20.749,NoData,NoData
2506,253,57,1,8,9,1:20.866,NoData,NoData
2507,253,87,1,7,10,1:20.909,NoData,NoData
2508,253,22,17,14,11,1:21.211,NoData,NoData
2509,253,84,27,25,12,1:21.541,NoData,NoData
2510,253,96,15,29,13,1:22.059,NoData,NoData
2511,253,44,27,26,14,1:22.062,NoData,NoData
2512,253,63,25,4,15,1:23.058,NoData,NoData
2513,253,83,18,23,16,1:23.328,NoData,NoData
2514,253,97,29,9,17,1:23.689,NoData,NoData
2515,253,69,18,24,18,1:23.760,NoData,NoData
2516,253,99,25,3,19,1:24.286,NoData,NoData
